t_over_beta,eps_0.05_s_10,eps_0.02_s_10,eps_0.01_s_10,eps_0.005_s_10,eps_0.02_s_20,eps_0.01_s_20,eps_0.005_s_20,eps_0.005_s_40
5.125000000000000666e-01,1.449667294112811256e+00,1.434806597964883412e+00,1.429801361353708167e+00,1.427295471656098158e+00,1.667473228689620335e+00,1.656075722226483915e+00,1.650347954705732700e+00,1.783517684812564674e+00
5.250000000000000222e-01,1.508007871451316539e+00,1.492452832982639865e+00,1.487213668361970775e+00,1.484590561484500526e+00,1.732873659173577607e+00,1.720957120314544841e+00,1.714968333073643603e+00,1.852435833656198128e+00
5.374999999999999778e-01,1.566854655422075027e+00,1.550592520972880362e+00,1.545115129211692917e+00,1.542372645959250832e+00,1.798752924877893733e+00,1.786308660375715451e+00,1.780054474348851112e+00,1.921807288652384038e+00
5.500000000000000444e-01,1.626180045785006634e+00,1.609198322326595321e+00,1.603478492524128995e+00,1.600614518016854504e+00,1.865081647963464206e+00,1.852101175103908925e+00,1.845577317664137684e+00,1.991602259007398956e+00
5.625000000000000000e-01,1.685957765586352686e+00,1.668244221027022522e+00,1.662277830671401446e+00,1.659290294445051828e+00,1.931832094483745266e+00,1.918307139894196656e+00,1.911509444312934125e+00,2.061792760261623059e+00
5.750000000000000666e-01,1.746162820566418361e+00,1.727705483682142162e+00,1.721488498681633672e+00,1.718375374723952298e+00,1.998978104411581747e+00,1.984900602644774192e+00,1.977825007437970850e+00,2.132352526158157069e+00
5.875000000000000222e-01,1.806771456863796921e+00,1.787558616874614703e+00,1.781087091468642747e+00,1.777846398193212885e+00,2.066495021589616066e+00,2.051857113494446327e+00,2.044499661657584344e+00,2.203256921742277719e+00
6.000000000000000888e-01,1.867761117499571633e+00,1.847781323312012614e+00,1.841051399867034810e+00,1.837681200029959605e+00,2.134359624123703725e+00,2.119153655019401672e+00,2.111510493157054302e+00,2.274482858206766878e+00
6.125000000000000444e-01,1.929110398070265298e+00,1.908352457206094588e+00,1.901360365904990246e+00,1.897858766465321700e+00,2.202550055661451012e+00,2.186768573322499964e+00,2.178835950683807088e+00,2.346008709862224428e+00
6.250000000000000000e-01,1.990799002027150877e+00,1.969251979258136220e+00,1.961994037687626147e+00,1.958359189616569296e+00,2.271045757917059760e+00,2.254681510384024090e+00,2.246455777803890275e+00,2.417814233579592909e+00
6.375000000000000666e-01,2.052807695871710969e+00,2.030460911579943240e+00,2.022933524224344026e+00,2.019163622265424785e+00,2.339827404746331219e+00,2.322873337974354246e+00,2.314350946728330971e+00,2.489880490905918009e+00
6.500000000000000222e-01,2.115118264552827476e+00,2.091961292835016639e+00,2.084160950480058005e+00,2.080254232863897990e+00,2.408876838007478760e+00,2.391326093365084393e+00,2.382503593947133513e+00,2.562189773081995803e+00
6.625000000000000888e-01,2.177713467310722351e+00,2.153736133844809775e+00,2.145659412899425966e+00,2.141614161015782614e+00,2.478177005403124689e+00,2.460022917030852074e+00,2.450896957854614033e+00,2.634725529045741865e+00
6.750000000000000444e-01,2.240576994175514258e+00,2.215769373867059411e+00,2.207412935607688809e+00,2.203227473637922706e+00,2.547711900443276889e+00,2.528947992484981366e+00,2.519515318519392810e+00,2.707472296527798861e+00
