epsilon,beta_omega,v,growth_final,classical_growth_final,jt_growth_final,relative_error_classical_final,relative_error_jt_final,doubled_cutoff_length_error,norm_error,tail_probability
0.05,10,0.8317055407400993,3.932513453040648,3.8501894157566823,4.900622348516292,0.021381814865278903,-0.19754815340315857,2.071054439056752e-11,2.836619827917275e-13,1.6996288799059208e-29
0.02,10,0.8317055407400993,3.883374580477931,3.8501894157566823,4.900622348516292,0.0086190992540367,-0.2075752212055968,8.706813048320328e-12,1.1368683772161603e-12,1.1652545051922206e-28
0.01,10,0.8317055407400993,3.8668262778165046,3.8501894157566823,4.900622348516292,0.004321050281769656,-0.2109519969464242,7.103651000761602e-12,7.062128659640621e-12,6.981705967598506e-27
0.005,10,0.8317055407400993,3.858534733489529,3.8501894157566823,4.900622348516292,0.002167508356522463,-0.212643933957136,2.6653523832465e-10,1.4452883334570288e-11,5.1295050018194165e-27
0.02,20,0.9088076884400518,4.4035166327526944,4.330525781867003,4.900622348516292,0.01685496278334675,-0.10143726253750207,2.658673281530355e-11,8.875455925760889e-12,5.367423827881564e-26
0.01,20,0.9088076884400518,4.367170284670472,4.330525781867003,4.900622348516292,0.008461906163198085,-0.1088539426032955,6.30961949354969e-12,1.7698842391666858e-11,4.405512126741882e-26
0.005,20,0.9088076884400518,4.3488984251570955,4.330525781867003,4.900622348516292,0.0042425895181188444,-0.11258241997085039,1.1058673976549471e-09,3.5401570563919904e-11,4.900915577974182e-26
0.005,40,0.9523385608649224,4.640510628862278,4.602457829860164,4.900622348516292,0.008267929964557608,-0.0530772830787023,1.229595270046957e-08,5.233222744038812e-10,9.614456571236122e-25
