link_midpoint,probability_left,real_coherence,imaginary_coherence
2.500000000000000139e-02,9.539632018902507461e-27,7.749509343163358222e-26,2.588742108141056638e-27
7.500000000000001110e-02,6.302330194463574266e-25,3.612734859004986641e-24,1.227495922841906353e-25
1.250000000000000000e-01,2.073347511267284208e-23,9.684519442878639044e-23,3.346273165182119907e-24
1.750000000000000167e-01,4.528999203952030920e-22,1.828370950123541537e-21,6.423737059841672379e-23
2.250000000000000056e-01,7.390301080460312887e-21,2.663197660910009861e-20,9.512951266148903637e-22
2.750000000000000222e-01,9.609448015632705752e-20,3.154947166332105946e-19,1.145620700181692102e-20
3.250000000000000111e-01,1.037189240632735513e-18,3.146516329492295013e-18,1.161347872767459085e-19
3.750000000000000000e-01,9.558576113390295183e-18,2.707257532405025189e-17,1.015527262048835260e-18
4.250000000000000444e-01,7.678503802131836435e-17,2.046470928227027702e-16,7.800873563301804053e-18
4.750000000000000333e-01,5.462169103502963407e-16,1.378455190480476045e-15,5.338902058562373144e-17
5.250000000000000222e-01,3.483943949046258533e-15,8.367349731889442389e-15,3.292416041508445413e-16
5.750000000000000666e-01,2.012688567760970801e-14,4.619477515595457148e-14,1.846429498322897099e-15
6.250000000000000000e-01,1.061945989974595509e-13,2.337434970272241748e-13,9.489382448004972288e-15
6.750000000000000444e-01,5.153376094303030992e-13,1.091054531581845708e-12,4.498303414971115624e-14
7.250000000000000888e-01,2.313868505667185283e-12,4.724212047445482993e-12,1.977792678711145138e-13
7.750000000000000222e-01,9.662301921336764859e-12,1.906700031530073664e-11,8.104532444728136831e-13
8.250000000000000666e-01,3.769364054758985180e-11,7.203414463023128377e-11,3.108302108579169148e-12
8.750000000000000000e-01,1.379166209229338133e-10,2.556911025712311312e-10,1.119913829772317174e-11
9.250000000000000444e-01,4.749489959539094066e-10,8.555654591344500088e-10,3.803218627866668446e-11
9.750000000000000888e-01,1.544247294562662335e-09,2.706698738468745937e-09,1.220989306993308402e-10
1.025000000000000133e+00,4.753854020372597094e-09,8.117761984878607883e-09,3.715582822154528239e-10
1.074999999999999956e+00,1.389106920768412143e-08,2.313627365387551808e-08,1.074354285976684076e-09
1.125000000000000000e+00,3.861771816830828373e-08,6.280113465207792906e-08,2.958215790223800134e-09
1.175000000000000044e+00,1.023554405007225742e-07,1.626793577383083491e-07,7.772269430010021529e-09
1.225000000000000089e+00,2.591457911419366950e-07,4.028933515530521198e-07,1.952105768102368275e-08
1.275000000000000133e+00,6.278478369325412796e-07,9.556058491891191064e-07,4.694990670178624880e-08
