link_midpoint,probability_left,real_coherence,imaginary_coherence
2.500000000000000052e-03,7.418127188724445168e-87,-1.297202194276663688e-87,-5.754520113269593868e-86
7.499999999999999722e-03,4.466265976096001275e-85,-1.900160192068902036e-85,-2.284456304174060693e-84
1.250000000000000069e-02,1.176563760725496665e-83,-1.076209261658721899e-83,-4.402273744870396286e-83
1.750000000000000167e-02,1.745612195890759470e-82,-3.600373619389305368e-82,-5.178167681860946747e-82
2.249999999999999917e-02,2.278633870357813803e-81,-8.240530894497705608e-81,-9.828177133927287431e-81
2.750000000000000014e-02,7.219212236724587546e-80,-1.373445753061991352e-79,-4.288871367167650433e-79
3.250000000000000111e-02,2.809277546592267760e-78,-1.680963634594581026e-78,-1.487567321593397062e-77
3.749999999999999861e-02,7.977541864453300588e-77,-1.388075764384436882e-77,-3.676036909933860467e-76
4.250000000000000305e-02,1.696326404349139693e-75,-3.658261251487452104e-77,-6.980268573487457781e-75
4.750000000000000056e-02,2.872412262205541953e-74,1.155240234154753443e-75,-1.077735702988048122e-73
5.249999999999999806e-02,4.044153824225245247e-73,2.698815273705535303e-74,-1.403790516636870246e-72
5.750000000000000250e-02,4.874582571956023941e-72,3.802619486131138948e-73,-1.581643005409403641e-71
6.250000000000000000e-02,5.134881912671600937e-71,4.230172012994912659e-72,-1.569368974218163653e-70
6.750000000000000444e-02,4.799932023134243045e-70,4.018029245850976662e-71,-1.390019376302408881e-69
7.249999999999999500e-02,4.028741059410844277e-69,3.381518172246809362e-70,-1.110707884448150077e-68
7.749999999999999944e-02,3.065015727942529101e-68,2.577359865756113087e-69,-8.076154008332205517e-68
8.250000000000000389e-02,2.130191072425736268e-67,1.805288159146925168e-68,-5.382419612841056674e-67
8.750000000000000833e-02,1.361522537461612812e-66,1.173993500825901287e-67,-3.308577955649235326e-66
9.249999999999999889e-02,8.050157374877030455e-66,7.139196635472488503e-67,-1.886386169254302749e-65
9.750000000000000333e-02,4.426683139804274105e-65,4.079656034301311700e-66,-1.002750701761779804e-64
1.025000000000000078e-01,2.275232487645581117e-64,2.197691782612501268e-65,-4.994236105402090128e-64
1.074999999999999983e-01,1.098379743780642243e-63,1.118191781734500056e-64,-2.341817094929280438e-63
1.125000000000000028e-01,5.004290060731611570e-63,5.379538641596374355e-64,-1.038797795788033795e-62
1.175000000000000072e-01,2.162134470629658676e-62,2.448517292327740579e-63,-4.380173169740425601e-62
1.224999999999999978e-01,8.901328584164042210e-62,1.054678926086370286e-62,-1.763979679696854710e-61
1.275000000000000022e-01,3.508181680103649834e-61,4.300021029970954829e-62,-6.815398541557771773e-61
1.325000000000000067e-01,1.329308551872715380e-60,1.659623877738628720e-61,-2.536318869454006098e-60
1.375000000000000111e-01,4.860013059122072485e-60,6.064458744648578224e-61,-9.119153485861128537e-60
1.425000000000000155e-01,1.718652519679383620e-59,2.098354479144909756e-60,-3.173235416681229535e-59
1.474999999999999922e-01,5.884525120161136537e-59,6.876103505526047852e-60,-1.068823353164322546e-58
1.524999999999999967e-01,1.949369603812457504e-58,2.134374581093695677e-59,-3.478919116784236497e-58
1.575000000000000011e-01,6.231980711042094118e-58,6.277270305377914050e-59,-1.090403994933788094e-57
1.625000000000000056e-01,1.914192838085285344e-57,1.749709195945580738e-58,-3.273215780322084588e-57
1.675000000000000100e-01,5.613100286176372024e-57,4.623484188317381504e-58,-9.339502385870799793e-57
1.725000000000000144e-01,1.557785651744456395e-56,1.158297330131916561e-57,-2.507010538975296326e-56
1.774999999999999911e-01,4.043250984196597558e-56,2.750227910581550307e-57,-6.239366004594963447e-56
1.824999999999999956e-01,9.647020634472722598e-56,6.182999771859407447e-57,-1.408004018297059024e-55
1.875000000000000000e-01,2.058975863553868391e-55,1.315268520207689688e-56,-2.772747458894662016e-55
1.925000000000000044e-01,3.742359451610785283e-55,2.661285440792587986e-56,-4.403941411410024369e-55
1.975000000000000089e-01,5.201404250125549769e-55,5.292034418218053160e-56,-4.506922866631189142e-55
2.025000000000000133e-01,3.959009724749251206e-55,1.155902145960413042e-55,-5.091473186234795168e-57
2.075000000000000178e-01,3.381406397129502686e-56,3.342093171725010562e-55,-7.752083813189031645e-56
2.124999999999999944e-01,3.480958341165409789e-54,1.311436322416581888e-54,-1.120700344913417728e-53
2.174999999999999989e-01,3.657521264504238003e-53,5.798133220237430882e-54,-8.836756180292948681e-53
2.225000000000000033e-01,2.144196509243589249e-52,2.511814727948139611e-53,-4.540118253107955138e-52
2.275000000000000078e-01,9.642663718249039929e-52,1.017101613573114084e-52,-1.884046802377563901e-51
2.325000000000000122e-01,3.691902377280965434e-51,3.816498997819330641e-52,-6.817529385977129046e-51
2.375000000000000167e-01,1.262881810244491213e-50,1.329542898095367732e-51,-2.234218661289392682e-50
2.424999999999999933e-01,3.966649791766905200e-50,4.315645615158772006e-51,-6.783878659928160410e-50
2.474999999999999978e-01,1.164893803816305693e-49,1.309130122985548030e-50,-1.938824196783382003e-49
2.525000000000000022e-01,3.241649556767047182e-49,3.717350166958555487e-50,-5.279008602300345553e-49
2.575000000000000067e-01,8.639465264632092451e-49,9.881193973226811256e-50,-1.382708867930274627e-48
2.625000000000000111e-01,2.224266842941590256e-48,2.453565798112022771e-49,-3.510889794358218228e-48
2.675000000000000155e-01,5.568822391383649386e-48,5.661030188467272290e-49,-8.691249099503082248e-48
2.725000000000000200e-01,1.362196137821384332e-47,1.200458794212627867e-48,-2.105299318926204310e-47
2.775000000000000244e-01,3.264358275562978461e-47,2.286843248758644812e-48,-4.999461588125938159e-47
2.825000000000000289e-01,7.672844270523893335e-47,3.706121797867114193e-48,-1.164662866592223464e-46
2.875000000000000333e-01,1.769634673693394634e-46,4.258098591635818851e-48,-2.662374808625093881e-46
2.924999999999999822e-01,4.006506465634233741e-46,-5.248276835760984477e-49,-5.976480101332045986e-46
2.974999999999999867e-01,8.915084064483943117e-46,-2.350587559420859309e-47,-1.319750151338739507e-45
3.024999999999999911e-01,1.954320313239726897e-45,-9.682303531740122919e-47,-2.875368944159556786e-45
3.074999999999999956e-01,4.235294086200289759e-45,-2.928931657248186700e-46,-6.204415322937625818e-45
3.125000000000000000e-01,9.109297989893350489e-45,-7.611187150367359803e-46,-1.330853273323701299e-44
3.175000000000000044e-01,1.950713934346774393e-44,-1.784846631779261105e-45,-2.844612750596037889e-44
3.225000000000000089e-01,4.164464267572696693e-44,-3.856222028362871963e-45,-6.058535585239950047e-44
3.275000000000000133e-01,8.849771676014445268e-44,-7.748463122960317069e-45,-1.282065000684280988e-43
3.325000000000000178e-01,1.864109713166435502e-43,-1.453101582703355812e-44,-2.681289869314697635e-43
3.375000000000000222e-01,3.868028986951799435e-43,-2.542551236963970936e-44,-5.504900237918868296e-43
3.425000000000000266e-01,7.851174952361730628e-43,-4.136217189522498336e-44,-1.101690426177099949e-42
3.475000000000000311e-01,1.548090103416372514e-42,-6.212896900994050845e-44,-2.134916960394099886e-42
3.524999999999999800e-01,2.946682771565848846e-42,-8.522796693957911009e-44,-3.982273761180609468e-42
3.574999999999999845e-01,5.384281018789557360e-42,-1.051389309218118675e-43,-7.112567221842157872e-42
3.624999999999999889e-01,9.397664517034101552e-42,-1.148210013699344523e-43,-1.210546064543734645e-41
3.674999999999999933e-01,1.559487051649304702e-41,-1.130135126781650925e-43,-1.954160513548561838e-41
3.724999999999999978e-01,2.448799449289458228e-41,-1.229073777233995764e-43,-2.977137871111934823e-41
3.775000000000000022e-01,3.619529140459305318e-41,-2.289953844056442778e-43,-4.255931691020327789e-41
3.825000000000000067e-01,5.004374393624415438e-41,-6.371745977292882509e-43,-5.668348028768316984e-41
3.875000000000000111e-01,6.421228062165107004e-41,-1.754797760990871285e-42,-6.970238586899965549e-41
3.925000000000000155e-01,7.570984652698508012e-41,-4.267221150164149708e-42,-7.826682858456153331e-41
3.975000000000000200e-01,8.115068138250267829e-41,-9.149674019485880622e-42,-7.951290163111952597e-41
4.025000000000000244e-01,7.893979386652666833e-41,-1.749400240416903388e-41,-7.421648813116243299e-41
4.075000000000000289e-01,7.365267814697762170e-41,-2.995268792633586331e-41,-7.263292208750952516e-41
4.125000000000000333e-01,8.380828831050452603e-41,-4.553004040590505567e-41,-1.046488056676235393e-40
4.174999999999999822e-01,1.554065519005584133e-40,-5.944081588414664557e-41,-2.376932597546443706e-40
4.224999999999999867e-01,3.862854917736974762e-40,-5.991895514141905184e-41,-6.095417135840683239e-40
4.274999999999999911e-01,9.711246986309534013e-40,-2.434612597979604570e-41,-1.488851721942794615e-39
4.324999999999999956e-01,2.283200279951746428e-39,8.399263551341209791e-41,-3.382292054984501289e-39
4.375000000000000000e-01,5.013556808198051277e-39,3.159013433055003273e-40,-7.208340171379203204e-39
4.425000000000000044e-01,1.038383799698731937e-38,7.292217580127318866e-40,-1.454478775125703422e-38
4.475000000000000089e-01,2.042429929694662785e-38,1.371150644101958485e-39,-2.791731131998506904e-38
4.525000000000000133e-01,3.825131594808654367e-38,2.249734021163622686e-39,-5.102009803329591521e-38
