time,length,classical_length,phase,classical_phase,length_velocity
0.000000000000000000e+00,2.686146353758208427e+00,2.684264050657600098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,2.687214471880563949e+00,2.685330601990163935e+00,8.853578596762492689e-03,8.837685528170444518e-03,1.708685692447253074e-02
2.500000000000000000e-01,2.690416553407390055e+00,2.688527983348037331e+00,1.768694539145036770e-02,1.765517454770072769e-02,3.413737421213077633e-02
3.750000000000000000e-01,2.695745799141658239e+00,2.693849396146161368e+00,2.648007911284275609e-02,2.643246098020108834e-02,5.111552095417863650e-02
5.000000000000000000e-01,2.703190941155163785e+00,2.701283573508838742e+00,3.521333562220332197e-02,3.514991568043204090e-02,6.798587814018823561e-02
6.250000000000000000e-01,2.712736337681229237e+00,2.710814875209532460e+00,4.386762679896343692e-02,4.378846522694812560e-02,8.471393088411358074e-02
7.500000000000000000e-01,2.724362103586146056e+00,2.722423418206167511e+00,5.242458820072510434e-02,5.232975949242244657e-02,1.012663446535016498e-01
8.750000000000000000e-01,2.738044274128108135e+00,2.736085240478806746e+00,6.086673238378084022e-02,6.075632488138892062e-02,1.176112209309177481e-01
1.000000000000000000e+00,2.753754999178971374e+00,2.751772495341560543e+00,6.917758526378109396e-02,6.905170061629825606e-02,1.337183283439257186e-01
1.125000000000000000e+00,2.771462764629987863e+00,2.769453672948022138e+00,7.734180346083839586e-02,7.720055601722834726e-02,1.495593060058648116e-01
1.250000000000000000e+00,2.791132637344644341e+00,2.789093845349948531e+00,8.534527118079196506e-02,8.518878732772783291e-02,1.651078365834884321e-01
1.375000000000000000e+00,2.812726529761953920e+00,2.810654931208766971e+00,9.317517580538078881e-02,9.300359326001600424e-02,1.803397874181369709e-01
1.500000000000000000e+00,2.836203480094385831e+00,2.834095976101378866e+00,1.008200619710609147e-01,1.006335290394501647e-01,1.952333188416568444e-01
1.625000000000000000e+00,2.861519944006336580e+00,2.859373444304297074e+00,1.082698644844767855e-01,1.080685392962000418e-01,2.097689596177312599e-01
1.750000000000000000e+00,2.888630093700559343e+00,2.886441517978514781e+00,1.155159209319434055e-01,1.152999706611399222e-01,2.239296501771072534e-01
1.875000000000000000e+00,2.917486120461616039e+00,2.915252399803711647e+00,1.225509652754117884e-01,1.223205653578803703e-01,2.377007549790444429e-01
2.000000000000000000e+00,2.948038536911866903e+00,2.945756615314176763e+00,1.293691040785417412e-01,1.291244374338314793e-01,2.510700459040257626e-01
