link_midpoint,probability_left,real_coherence,imaginary_coherence
1.000000000000000021e-02,1.777617183831882187e-46,-2.033781916128642067e-46,-1.889340301705803808e-46
2.999999999999999889e-02,4.334946651117910008e-46,-3.675299319973768209e-45,4.624813488759553744e-46
5.000000000000000278e-02,3.165370924673123559e-44,-4.265890077363754762e-44,-1.811208698987377164e-43
7.000000000000000666e-02,1.093854469256744891e-42,-4.439829868755822100e-43,-3.974159253260098558e-42
8.999999999999999667e-02,1.461900381846360125e-41,-4.132128867920338279e-42,-4.101962463927466490e-41
1.100000000000000006e-01,1.162653841283913536e-40,-3.119529285742819338e-41,-2.731736537119373374e-40
1.300000000000000044e-01,6.502106533730517184e-40,-1.840194887037522879e-40,-1.338540614922200097e-39
1.499999999999999944e-01,2.807634941920428483e-39,-8.536684211922223769e-40,-5.222806513269870287e-39
1.700000000000000122e-01,9.975106531919180915e-39,-3.186608746727786229e-39,-1.711730530176495525e-38
1.900000000000000022e-01,3.039131613567099971e-38,-9.895582226092533753e-39,-4.850309858001744484e-38
2.099999999999999922e-01,8.063070083957538076e-38,-2.679151670318101688e-38,-1.189283993803777439e-37
2.300000000000000100e-01,1.843187444941687861e-37,-6.710932083838161303e-38,-2.468115255639295119e-37
2.500000000000000000e-01,3.549264089993446747e-37,-1.640730193895663961e-37,-4.237193583098532323e-37
2.700000000000000178e-01,5.816925567195648479e-37,-4.012848324094290275e-37,-6.416652938360004697e-37
2.899999999999999800e-01,9.846504986510166704e-37,-9.840814732801348789e-37,-1.273998239700954284e-36
3.099999999999999978e-01,2.631885998498656280e-36,-2.419936811122498132e-36,-4.530214341563315325e-36
3.300000000000000155e-01,1.002282627947386781e-35,-5.874276910727745820e-36,-1.834432980920171105e-35
3.500000000000000333e-01,3.701765899430033245e-35,-1.336016447065629569e-35,-6.485429098194103937e-35
3.699999999999999956e-01,1.184454439468569986e-34,-2.659386344965055634e-35,-1.947428861753296043e-34
