time,length,classical_length,phase,classical_phase,length_velocity
0.000000000000000000e+00,2.691783865655515307e+00,2.684264050657600098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,2.692856632709953235e+00,2.685330601990163935e+00,8.900884953790284132e-03,8.837685528170444518e-03,1.716123918604428242e-02
2.500000000000000000e-01,2.696072660543637589e+00,2.688527983348037331e+00,1.778151316749828140e-02,1.765517454770072769e-02,3.428613086900288154e-02
3.750000000000000000e-01,2.701425148461414238e+00,2.693849396146161368e+00,2.662181871977564729e-02,2.643246098020108834e-02,5.133863578308375114e-02
5.000000000000000000e-01,2.708902825937007375e+00,2.701283573508838742e+00,3.540211339231570664e-02,3.514991568043204090e-02,6.828332559599606388e-02
6.250000000000000000e-01,2.718490047356886929e+00,2.710814875209532460e+00,4.410326582798480832e-02,4.378846522694812560e-02,8.508567469293037977e-02
7.500000000000000000e-01,2.730166922290460541e+00,2.722423418206167511e+00,5.270686944832255610e-02,5.232975949242244657e-02,1.017123360101936103e-01
8.750000000000000000e-01,2.743909479002305751e+00,2.736085240478806746e+00,6.119539601240520099e-02,6.075632488138892062e-02,1.181313963596864608e-01
1.000000000000000000e+00,2.759689858388543637e+00,2.751772495341560543e+00,6.955233219304333969e-02,6.905170061629825606e-02,1.343126072900794332e-01
1.125000000000000000e+00,2.777476535068823082e+00,2.769453672948022138e+00,7.776229711167492731e-02,7.720055601722834726e-02,1.502275882335849244e-01
1.250000000000000000e+00,2.797234562006005731e+00,2.789093845349948531e+00,8.581113938148567100e-02,8.518878732772783291e-02,1.658499994581093540e-01
1.375000000000000000e+00,2.818925834766443206e+00,2.810654931208766971e+00,9.368601283010181968e-02,9.300359326001600424e-02,1.811556831518753574e-01
1.500000000000000000e+00,2.842509371374947857e+00,2.834095976101378866e+00,1.013754306809638156e-01,1.006335290394501647e-01,1.961227717794032932e-01
1.625000000000000000e+00,2.867941603661102512e+00,2.859373444304297074e+00,1.088692985415365827e-01,1.080685392962000418e-01,2.107317636347899314e-01
1.750000000000000000e+00,2.895176676030258633e+00,2.886441517978514781e+00,1.161589270565315662e-01,1.152999706611399222e-01,2.249655662534781886e-01
1.875000000000000000e+00,2.924166747717929837e+00,2.915252399803711647e+00,1.232370255200609527e-01,1.223205653578803703e-01,2.388095090061913561e-01
2.000000000000000000e+00,2.954862294788506372e+00,2.945756615314176763e+00,1.300976780923194243e-01,1.291244374338314793e-01,2.522513267702684026e-01
2.125000000000000000e+00,2.987212408406114683e+00,2.977903311457874569e+00,1.367363045295026114e-01,1.357070335357438984e-01,2.652811170437421873e-01
2.250000000000000000e+00,3.021165086225656271e+00,3.011640548221359737e+00,1.431496075106015453e-01,1.420650803096972503e-01,2.778912732301916932e-01
2.375000000000000000e+00,3.056667514109374650e+00,3.046915580522918887e+00,1.493355087359696243e-01,1.481965205965003751e-01,2.900763970758397092e-01
2.500000000000000000e+00,3.093666335757628616e+00,3.083675127961060802e+00,1.552930759878823619e-01,1.541004406086764755e-01,3.018331933892207108e-01
2.625000000000000000e+00,3.132107908238021210e+00,3.121865630402451686e+00,1.610224432927632177e-01,1.597769902246672924e-01,3.131603502245547954e-01
2.750000000000000000e+00,3.171938541793248412e+00,3.161433487790957564e+00,1.665247262197226963e-01,1.652272984309930137e-01,3.240584076735276153e-01
2.875000000000000000e+00,3.213104722694566817e+00,3.202325282947424689e+00,1.718019342025082774e-01,1.704533857957660492e-01,3.345296182981468136e-01
3.000000000000000000e+00,3.255553318276995789e+00,3.244487986499579257e+00,1.768568815936059635e-01,1.754580756788957085e-01,3.445778020634955308e-01
3.125000000000000000e+00,3.299231763636018666e+00,3.287869143426064511e+00,1.816930989610714142e-01,1.802449056865017274e-01,3.542081984074342826e-01
3.250000000000000000e+00,3.344088229779338839e+00,3.332417041013024495e+00,1.863147459305352915e-01,1.848180406692975508e-01,3.634273178271327231e-01
3.375000000000000000e+00,3.390071773307704817e+00,3.378080858302189071e+00,1.907265266651356483e-01,1.891821883554157535e-01,3.722427950837795541e-01
3.500000000000000000e+00,3.437132467943442293e+00,3.424810797354188807e+00,1.949336088718233162e-01,1.933425185042308425e-01,3.806632458367085192e-01
3.625000000000000000e+00,3.485221518433124555e+00,3.472558196859036883e+00,1.989415470289124521e-01,1.973045862745568535e-01,3.886981282279878824e-01
3.750000000000000000e+00,3.534291357523722255e+00,3.521275628797896573e+00,2.027562103508767088e-01,2.010742603220878333e-01,3.963576106551928158e-01
3.875000000000000000e+00,3.584295726848981012e+00,3.570916978997729530e+00,2.063837158448264819e-01,2.046576559797222139e-01,4.036524467006923911e-01
4.000000000000000000e+00,3.635189742667666035e+00,3.621437512525329971e+00,2.098303666703310311e-01,2.080610737319464609e-01,4.105938579360274288e-01
4.125000000000000000e+00,3.686929947471353053e+00,3.672793924942210353e+00,2.131025958907984685e-01,2.112909430712684444e-01,4.171934250920159570e-01
4.250000000000000000e+00,3.739474348527372261e+00,3.724944380489780826e+00,2.162069156002678350e-01,2.143537717205581394e-01,4.234629878821046245e-01
4.375000000000000000e+00,3.792782444446853418e+00,3.777848538298463232e+00,2.191498713233680229e-01,2.172561001192466201e-01,4.294145535893124643e-01
4.500000000000000000e+00,3.846815240872663466e+00,3.831467567717983691e+00,2.219380015171383003e-01,2.200044610024266822e-01,4.350602143751711726e-01
4.625000000000000000e+00,3.901535256367613780e+00,3.885764153852319325e+00,2.245778019498635425e-01,2.226053438484731639e-01,4.404120731423019630e-01
4.750000000000000000e+00,3.956906519556764756e+00,3.940702494354643370e+00,2.270756946923836173e-01,2.250651639311946339e-01,4.454821776789115173e-01
4.875000000000000000e+00,4.012894558536935108e+00,3.996248288497987744e+00,2.294380014297634773e-01,2.273902356850180662e-01,4.502824627320455853e-01
5.000000000000000000e+00,4.069466383520051522e+00,4.052368719488817383e+00,2.316709207840484119e-01,2.295867500745752965e-01,4.548246995949974947e-01
5.125000000000000000e+00,4.126590463620399163e+00,4.109032430935649849e+00,2.337805093304299864e-01,2.316607556516773192e-01,4.591204527497474430e-01
5.250000000000000000e+00,4.184236698638154728e+00,4.166209498325272875e+00,2.357726659879731679e-01,2.336181429814863653e-01,4.631810430772982379e-01
5.375000000000000000e+00,4.242376386628395224e+00,4.223871396296878800e+00,2.376531194707251216e-01,2.354646321243425988e-01,4.670175171327372032e-01
5.500000000000000000e+00,4.300982187982110183e+00,4.281990962440974435e+00,2.394274184942595252e-01,2.372057628689137054e-01,4.706406219779379341e-01
5.625000000000000000e+00,4.360028086682538273e+00,4.340542358286565872e+00,2.411009244454350997e-01,2.388468874250201379e-01,4.740607850695031655e-01
5.750000000000000000e+00,4.419489349337656137e+00,4.399501028077879461e+00,2.426788062383950506e-01,2.403931652996982860e-01,4.772880987117283924e-01
5.875000000000000000e+00,4.479342482530127789e+00,4.458843655881521428e+00,2.441660370968098681e-01,2.418495600969897130e-01,4.803323086023505439e-01
6.000000000000000000e+00,4.539565188967527476e+00,4.518548121507241611e+00,2.455673930203859379e-01,2.432208379999219461e-01,4.832028060210122877e-01
6.125000000000000000e+00,4.600136322861610338e+00,4.578593455670652901e+00,2.468874527121804607e-01,2.445115677116149189e-01,4.859086232361372049e-01
6.250000000000000000e+00,4.661035844913650195e+00,4.638959794774844880e+00,2.481305987618350473e-01,2.457261216509698531e-01,4.884584317325584846e-01
6.375000000000000000e+00,4.722244777235458102e+00,4.699628335639909338e+00,2.493010198981043535e-01,2.468686782166204519e-01,4.908605428918246805e-01
6.500000000000000000e+00,4.783745158490531502e+00,4.760581290465070836e+00,2.504027141417610181e-01,2.479432249504848751e-01,4.931229107852661553e-01
6.625000000000000000e+00,4.845519999500324637e+00,4.821801842267472438e+00,2.514394927068880348e-01,2.489535624491474863e-01,4.952531367691270781e-01
6.750000000000000000e+00,4.907553239522573385e+00,4.883274101004564827e+00,2.524149845145970406e-01,2.499033088872900377e-01,4.972584755993214589e-01
6.875000000000000000e+00,4.969829703375500785e+00,4.944983060553427734e+00,2.533326411982340653e-01,2.507959050323818051e-01,4.991458428106406164e-01
7.000000000000000000e+00,5.032335059551354739e+00,5.006914556690084339e+00,2.541957424931117204e-01,2.516346196437829197e-01,5.009218231306744595e-01
7.125000000000000000e+00,5.095055779435718080e+00,5.069055226184758567e+00,2.550074019167035688e-01,2.524225551622892305e-01,5.025926797243081001e-01
7.250000000000000000e+00,5.157979097724499695e+00,5.131392467104848976e+00,2.557705726570773108e-01,2.531626536079565337e-01,5.041643640865153264e-01
7.375000000000000000e+00,5.221092974109732943e+00,5.193914400396078435e+00,2.564880535981226006e-01,2.538577026148107207e-01,5.056425264232229377e-01
7.500000000000000000e+00,5.284386056286011879e+00,5.256609832793431636e+00,2.571624954199194790e-01,2.545103415408138670e-01,5.070325263795927295e-01
7.625000000000000000e+00,5.347847644313169724e+00,5.319468221097094940e+00,2.577964067214135180e-01,2.551230676002645970e-01,5.083394439929669328e-01
7.750000000000000000e+00,5.411467656356586886e+00,5.382479637834318709e+00,2.583921601204812180e-01,2.556982419737174883e-01,5.095680907644308810e-01
7.875000000000000000e+00,5.475236595813898433e+00,5.445634738315790813e+00,2.589519982935429288e-01,2.562380958575689038e-01,5.107230207575198522e-01
8.000000000000000000e+00,5.539145519826822905e+00,5.508924729084615279e+00,2.594780399231748080e-01,2.567447364217385619e-01,5.118085416466437998e-01
8.125000000000000000e+00,5.603186009167184345e+00,5.572341337747005241e+00,2.599722855277313283e-01,2.572201526494373169e-01,5.128287256491879109e-01
8.250000000000000000e+00,5.667350139479471416e+00,5.635876784166303111e+00,2.604366231519014696e-01,2.576662210379114804e-01,5.137874202866574702e-01
8.375000000000000000e+00,5.731630453855316887e+00,5.699523752995673931e+00,2.608728339014215192e-01,2.580847111433545171e-01,5.146882589293204635e-01
8.500000000000000000e+00,5.796019936710641751e+00,5.763275367519772985e+00,2.612825973089246689e-01,2.584772909569304500e-01,5.155346710877160010e-01
8.625000000000000000e+00,5.860511988931787819e+00,5.827125164771436161e+00,2.616674965211703285e-01,2.588455321021146949e-01,5.163298924213669538e-01
8.750000000000000000e+00,5.925100404253813124e+00,5.891067071886363138e+00,2.620290233007168679e-01,2.591909148463806822e-01,5.170769744422714087e-01
8.875000000000000000e+00,5.989779346831973328e+00,5.955095383656122010e+00,2.623685828375241225e-01,2.595148329226807382e-01,5.177787938955327185e-01
9.000000000000000000e+00,6.054543329964586107e+00,6.019204741238091572e+00,2.626874983680454467e-01,2.598185981582449289e-01,5.184380618053435752e-01
9.125000000000000000e+00,6.119387195925532374e+00,6.083390111979685599e+00,2.629870156011181459e-01,2.601034449099772772e-01,5.190573321781473126e-01
9.250000000000000000e+00,6.184306096862927760e+00,6.147646770313413001e+00,2.632683069514507035e-01,2.603705343072107437e-01,5.196390103588138798e-01
9.375000000000000000e+00,6.249295476720501341e+00,6.211970279679055906e+00,2.635324755827296861e-01,2.606209583038177069e-01,5.201853610383270210e-01
9.500000000000000000e+00,6.314351054138358066e+00,6.276356475429235360e+00,2.637805592633928886e-01,2.608557435426958060e-01,5.206985159150074871e-01
9.625000000000000000e+00,6.379468806289748883e+00,6.340801448674969976e+00,2.640135340389447305e-01,2.610758550364795094e-01,5.211804810122386833e-01
9.750000000000000000e+00,6.444644953611362581e+00,6.405301531028422701e+00,2.642323177253596556e-01,2.612821996690019577e-01,5.216331436585068815e-01
9.875000000000000000e+00,6.509875945385650731e+00,6.469853280200794643e+00,2.644377732286368188e-01,2.614756295225536542e-01,5.220582791366777942e-01
1.000000000000000000e+01,6.575158446133610113e+00,6.534453466414282374e+00,2.646307116959794037e-01,2.616569450363930294e-01,5.224575570103462407e-01
