time,length,classical_length,phase,classical_phase,length_velocity
0.000000000000000000e+00,2.688035220018268667e+00,2.684264050657600098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,2.689104887694274026e+00,2.685330601990163935e+00,8.869335097587313990e-03,8.837685528170444518e-03,1.711164959064608027e-02
2.500000000000000000e-01,2.692311617736994123e+00,2.688527983348037331e+00,1.771844360016016501e-02,1.765517454770072769e-02,3.418695720553530798e-02
3.750000000000000000e-01,2.697648610502711986e+00,2.693849396146161368e+00,2.652728953692626984e-02,2.643246098020108834e-02,5.118988942963832722e-02
5.000000000000000000e-01,2.705104597284757606e+00,2.701283573508838742e+00,3.527621425465440885e-02,3.514991568043204090e-02,6.808502441740653388e-02
6.250000000000000000e-01,2.714663935154811636e+00,2.710814875209532460e+00,4.394611539177638998e-02,4.378846522694812560e-02,8.483784396802210304e-02
7.500000000000000000e-01,2.726306737366266830e+00,2.722423418206167511e+00,5.251861462201518060e-02,5.232975949242244657e-02,1.014150096194818690e-01
8.750000000000000000e-01,2.740009037028717120e+00,2.736085240478806746e+00,6.097621105239163508e-02,6.075632488138892062e-02,1.177846181948681015e-01
1.000000000000000000e+00,2.755742981232257804e+00,2.751772495341560543e+00,6.930241765404328291e-02,6.905170061629825606e-02,1.339164328401051818e-01
1.125000000000000000e+00,2.773477052346371430e+00,2.769453672948022138e+00,7.748187866920407119e-02,7.720055601722834726e-02,1.497820862979475365e-01
1.250000000000000000e+00,2.793176312858616228e+00,2.789093845349948531e+00,8.550046654536544444e-02,8.518878732772783291e-02,1.653552539353344009e-01
1.375000000000000000e+00,2.814802669860738682e+00,2.810654931208766971e+00,9.334535756889469904e-02,9.300359326001600424e-02,1.806117948511203053e-01
1.500000000000000000e+00,2.838315155128854350e+00,2.834095976101378866e+00,1.010050859776294441e-01,1.006335290394501647e-01,1.955298602044378276e-01
1.625000000000000000e+00,2.863670216688380954e+00,2.859373444304297074e+00,1.084695769005042665e-01,1.080685392962000418e-01,2.100899686928269228e-01
1.750000000000000000e+00,2.890822017792205934e+00,2.886441517978514781e+00,1.157301589818030690e-01,1.152999706611399222e-01,2.242750498464940456e-01
1.875000000000000000e+00,2.919722739363717512e+00,2.915252399803711647e+00,1.227795579829694811e-01,1.223205653578803703e-01,2.380704564673322698e-01
2.000000000000000000e+00,2.950322882164601701e+00,2.945756615314176763e+00,1.296118730062225388e-01,1.291244374338314793e-01,2.514639481154001821e-01
2.125000000000000000e+00,2.982571565209134690e+00,2.977903311457874569e+00,1.362225372470674545e-01,1.357070335357438984e-01,2.644456480145475075e-01
2.250000000000000000e+00,3.016416817271719175e+00,3.011640548221359737e+00,1.426082653574983761e-01,1.420650803096972503e-01,2.770079761126482132e-01
2.375000000000000000e+00,3.051805858691039486e+00,3.046915580522918887e+00,1.487669895928364350e-01,1.481965205965003751e-01,2.891455612845583723e-01
2.500000000000000000e+00,3.088685371059170404e+00,3.083675127961060802e+00,1.546977869304115849e-01,1.541004406086764755e-01,3.008551358149600952e-01
