link_midpoint,probability_left,real_coherence,imaginary_coherence
3.450000000000000289e-01,4.633368649792427604e-37,-1.108412015513386842e-37,-6.195693455907930660e-37
3.549999999999999822e-01,8.549976828951338237e-37,-1.735063698892793694e-37,-1.176571887073664682e-36
3.649999999999999911e-01,1.654303741566654341e-36,-2.319407806787797257e-37,-2.317345224033477222e-36
3.750000000000000000e-01,3.278651481472280803e-36,-2.285834051171820313e-37,-4.606095323222296999e-36
3.850000000000000089e-01,6.486924462661922338e-36,-4.489548868613674697e-38,-9.038324252452235132e-36
3.950000000000000178e-01,1.259353663937187428e-35,5.115885614245203093e-37,-1.729087899205610901e-35
4.050000000000000266e-01,2.376109489677338088e-35,1.691618617007621678e-36,-3.201725312762994211e-35
4.150000000000000355e-01,4.326257168914080412e-35,3.752064457144255639e-36,-5.697800757695114270e-35
4.249999999999999889e-01,7.536702530210641205e-35,6.892872421132476003e-36,-9.654315896062984924e-35
4.349999999999999978e-01,1.242996283156955995e-34,1.125184386776257016e-35,-1.540673208139175301e-34
4.450000000000000067e-01,1.919824190672162422e-34,1.703031592175722300e-35,-2.292876201403762488e-34
4.550000000000000155e-01,2.753525279391555738e-34,2.472080024513009517e-35,-3.163017851920407249e-34
4.650000000000000244e-01,3.655602439309139043e-34,3.518342980659127875e-35,-4.048209563231343231e-34
4.750000000000000333e-01,4.516844573572869320e-34,4.911555599414782366e-35,-4.864351704711370142e-34
4.849999999999999867e-01,5.292002171392452254e-34,6.559072932708582129e-35,-5.639693534521616791e-34
4.949999999999999956e-01,6.091523868783423727e-34,8.002055536503251430e-35,-6.582561406694604661e-34
5.050000000000000044e-01,7.218299484358697565e-34,8.277346640867282624e-35,-8.072942173054466361e-34
5.150000000000000133e-01,9.123691826076012291e-34,5.988024315349811060e-35,-1.059293035649501358e-33
5.250000000000000222e-01,1.233806884706891335e-33,-3.595746661099675968e-36,-1.469357117143933922e-33
5.350000000000000311e-01,1.749887517938830823e-33,-1.173656953076959923e-34,-2.113510297612381857e-33
5.450000000000000400e-01,2.560564858378094048e-33,-2.742887110021212570e-34,-3.130075196914656609e-33
5.550000000000000488e-01,3.855635604394338374e-33,-4.260733587983812722e-34,-4.786461060825426272e-33
5.650000000000000577e-01,5.989089831922318057e-33,-4.393098788818344848e-34,-7.560694713404677531e-33
5.750000000000000666e-01,9.576930606929751742e-33,-3.886286273152989676e-35,-1.227379635741444261e-32
5.849999999999999645e-01,1.573025779641474859e-32,1.227491219919231143e-33,-2.049600841666611626e-32
5.949999999999999734e-01,2.680141045158948055e-32,3.947834033890691562e-33,-3.575964019763354032e-32
6.049999999999999822e-01,4.829362480610018956e-32,8.685134025227975715e-33,-6.622907395736103042e-32
6.149999999999999911e-01,9.238738670372472538e-32,1.572095233850843165e-32,-1.288387820519174301e-31
6.250000000000000000e-01,1.823471872526938426e-31,2.484847514451020698e-32,-2.532066402021566698e-31
6.350000000000000089e-01,3.549879235031384396e-31,3.547804034566611226e-32,-4.814822344551379271e-31
6.450000000000000178e-01,6.565965150096728637e-31,4.730053631069583161e-32,-8.593826303057958215e-31
6.550000000000000266e-01,1.128205570807323736e-30,6.143469888125333305e-32,-1.416003896161279487e-30
6.650000000000000355e-01,1.780563142170148176e-30,8.137039668185581532e-32,-2.136516043863269661e-30
6.750000000000000444e-01,2.567346160816178156e-30,1.125051641958905810e-31,-2.940809419947106162e-30
6.850000000000000533e-01,3.373529284289025613e-30,1.593042104869608626e-31,-3.686918960880727162e-30
6.950000000000000622e-01,4.036944134146105453e-30,2.204114811276010454e-31,-4.212286902563318659e-30
7.049999999999999600e-01,4.407279758971122796e-30,2.838754440910171920e-31,-4.404065556924394314e-30
7.149999999999999689e-01,4.419138280886529305e-30,3.258887765773064466e-31,-4.260957201986065752e-30
7.249999999999999778e-01,4.132470769435262416e-30,3.160877759091344874e-31,-3.899457303198525394e-30
7.349999999999999867e-01,3.703759710716392061e-30,2.301147146191089661e-31,-3.491113343952365655e-30
7.449999999999999956e-01,3.304972816349050914e-30,6.610690953526072220e-32,-3.181302366204607714e-30
7.550000000000000044e-01,3.063581890483542007e-30,-1.423328301136409026e-31,-3.067555270257174847e-30
7.650000000000000133e-01,3.078146531647736265e-30,-3.250638359693277388e-31,-3.241605839247162242e-30
7.750000000000000222e-01,3.448073314695281058e-30,-3.902922044891629078e-31,-3.772739066480674034e-30
7.850000000000000311e-01,4.172152606884407309e-30,-2.529736647874389621e-31,-4.522703987134242590e-30
7.950000000000000400e-01,4.918048059042261445e-30,1.293908476187933705e-31,-4.958636384474998785e-30
8.050000000000000488e-01,5.002963877030176495e-30,7.240897726052002754e-31,-4.407191280742544559e-30
8.150000000000000577e-01,3.987164703592810350e-30,1.418186116816012338e-30,-2.921151927099265846e-30
8.250000000000000666e-01,2.644581106374651147e-30,2.075634349788329818e-30,-2.057877697980546747e-30
8.349999999999999645e-01,3.230424112640791139e-30,2.652119007449307461e-30,-4.414488673272629893e-30
8.449999999999999734e-01,8.209895837622886071e-30,3.266078664513191236e-30,-1.180923981602601776e-29
8.549999999999999822e-01,1.828590981474255926e-29,4.074900916788406643e-30,-2.376748977596169463e-29
8.649999999999999911e-01,3.180035303812272730e-29,4.947982017533319089e-30,-3.806776984818378514e-29
8.750000000000000000e-01,4.634029142674942884e-29,5.212234773762600247e-30,-5.284731646537483751e-29
8.850000000000000089e-01,6.085430544574608691e-29,3.854632178056563518e-30,-6.801640312849349217e-29
8.950000000000000178e-01,7.626558630109670674e-29,2.502406386447343777e-31,-8.503942118178849950e-29
9.050000000000000266e-01,9.482344693135666509e-29,-5.057347704751709219e-30,-1.062188152948103039e-28
9.150000000000000355e-01,1.192533477149984481e-28,-1.023630923005877129e-29,-1.336345552943146278e-28
9.250000000000000444e-01,1.506286971355473727e-28,-1.304563588682909879e-29,-1.658975401015674806e-28
9.350000000000000533e-01,1.838440015352674457e-28,-1.227803691883079571e-29,-1.936531209409456602e-28
9.450000000000000622e-01,2.048056021753078732e-28,-8.743958488293230399e-30,-2.004206616883140068e-28
9.550000000000000711e-01,1.965029179581625075e-28,-4.916717552564386043e-30,-1.733852444665345428e-28
9.649999999999999689e-01,1.531102816326493074e-28,-3.284288988452241783e-30,-1.167722071359579445e-28
9.749999999999999778e-01,8.912879506226928860e-29,-4.507906750639442398e-30,-5.326682728100952848e-29
9.849999999999999867e-01,3.206232183281355139e-29,-6.805531208302977587e-30,-9.648005457186364268e-30
9.949999999999999956e-01,4.347759499638549929e-30,-7.244542848549181884e-30,-3.314382150457668105e-31
1.005000000000000115e+00,1.209663330716202986e-29,-4.198300827629643872e-30,-2.394507776039539446e-29
1.015000000000000124e+00,4.885594725275751316e-29,9.910963038757175452e-31,-7.168771024456921567e-29
1.024999999999999911e+00,1.052095059256630094e-28,4.808278540621558247e-30,-1.346114497099203191e-28
1.034999999999999920e+00,1.724498349830671711e-28,4.409144419755478525e-30,-2.035369372137353269e-28
1.044999999999999929e+00,2.403407655851451170e-28,1.402508934806852071e-31,-2.667110446238598357e-28
1.054999999999999938e+00,2.959747624231598533e-28,-4.534063777141267835e-30,-3.104110251454280450e-28
1.064999999999999947e+00,3.256208788787913143e-28,-6.267108409216263699e-30,-3.211321873661835392e-28
1.074999999999999956e+00,3.168259933626816553e-28,-5.692010786359747529e-30,-2.887974956401743632e-28
1.084999999999999964e+00,2.633508431213724479e-28,-6.315893630480191720e-30,-2.148327784771132362e-28
1.094999999999999973e+00,1.754048427301166517e-28,-9.117537268738225764e-30,-1.197867399316881287e-28
1.104999999999999982e+00,8.227818756129916971e-29,-1.255635546060322989e-29,-3.763307275859111386e-29
1.114999999999999991e+00,1.912913099275349675e-29,-1.482395668918308351e-29,-1.043216214206956451e-30
1.125000000000000000e+00,1.154459092135539706e-29,-1.035746063343722284e-29,-2.245219806392832964e-29
1.135000000000000009e+00,5.295797770920840022e-29,7.146758830514277150e-31,-6.892952295382910325e-29
1.145000000000000018e+00,8.972755573017322730e-29,4.052040974665966834e-30,-8.716230608822278394e-29
1.155000000000000027e+00,8.485338285122941081e-29,2.427922538354606843e-30,-7.624984637890260993e-29
1.165000000000000036e+00,6.858811852984572211e-29,1.281099919993451321e-29,-6.053161814660247358e-29
1.175000000000000044e+00,5.581430979595974466e-29,1.395414184268379933e-29,-2.893758063117373254e-29
1.185000000000000053e+00,1.849170313355968170e-29,-9.786557695595978510e-30,1.417683185261858912e-29
1.195000000000000062e+00,1.604823908123833004e-29,3.267092327911420640e-29,-5.177574102114000548e-29
1.205000000000000071e+00,2.335531373395210388e-28,1.435583598281507800e-28,-2.387694141424781290e-28
1.215000000000000080e+00,3.323433660137626545e-28,-5.062400645877250746e-29,-5.961597965394320504e-29
1.225000000000000089e+00,1.840522689953109009e-29,-9.244460225322090175e-29,-9.923729597720444051e-29
1.235000000000000098e+00,9.993924823112137161e-28,1.167522385049161961e-27,-9.522097535242757258e-28
1.245000000000000107e+00,2.271191723444263224e-27,2.190703482583490394e-27,2.982585232665369035e-28
1.255000000000000115e+00,2.152235694083853544e-27,4.222448380083663928e-27,8.481000910974710678e-28
1.265000000000000124e+00,8.618175108784359864e-27,1.288808744655460865e-26,-1.907836040169050231e-27
1.275000000000000133e+00,1.969589086362270110e-26,2.636298577718800362e-26,2.568125737199102769e-27
1.284999999999999920e+00,3.562175957149036460e-26,5.617360056843571580e-26,5.609095299368590554e-27
1.294999999999999929e+00,8.946597218207614108e-26,1.359271637497893940e-25,5.195061030549322381e-27
1.304999999999999938e+00,2.068181013728498897e-25,3.142820001101747941e-25,1.961580832358474007e-26
1.314999999999999947e+00,4.794452461908951092e-25,7.300447787363925639e-25,2.542341118251986073e-26
1.324999999999999956e+00,1.112977410947071875e-24,1.645871405889165746e-24,6.723252455058760475e-26
1.334999999999999964e+00,2.437976611557718261e-24,3.618091067826672280e-24,2.016390667671864584e-25
1.344999999999999973e+00,5.386122748709976913e-24,8.007345433890857570e-24,3.959641975539633890e-25
1.354999999999999982e+00,1.193332783936117893e-23,1.761596749332447325e-23,8.707064043006947410e-25
1.364999999999999991e+00,2.606820532846499909e-23,3.838816504657943476e-23,1.910729776219582168e-24
1.375000000000000000e+00,5.667064860456756067e-23,8.299986547988238514e-23,4.040771411526404765e-24
1.385000000000000009e+00,1.218497700893126738e-22,1.777011147968286090e-22,9.080799833475214976e-24
1.395000000000000018e+00,2.598293546425673124e-22,3.782938177576827144e-22,1.914964788083231943e-23
1.405000000000000027e+00,5.521813413461709971e-22,8.000800166878374731e-22,3.927873660716105007e-23
1.415000000000000036e+00,1.162065437938062794e-21,1.675551360856381257e-21,8.419639685414085681e-23
1.425000000000000044e+00,2.422033479547393205e-21,3.481488490190816680e-21,1.769658744643682638e-22
1.435000000000000053e+00,5.017304315020012954e-21,7.185538842836254368e-21,3.633539782749257173e-22
1.445000000000000062e+00,1.031709287006449638e-20,1.471834156353542650e-20,7.468822404308534551e-22
1.455000000000000071e+00,2.105122190885230775e-20,2.992075525183500538e-20,1.521443168885229585e-21
1.465000000000000080e+00,4.263725820964919058e-20,6.037274176289731597e-20,3.078093708196164564e-21
1.475000000000000089e+00,8.570772986568147807e-20,1.209131733924849717e-19,6.186361602218175959e-21
1.485000000000000098e+00,1.710261909011768685e-19,2.403954101511801779e-19,1.233179590652092732e-20
1.495000000000000107e+00,3.387903695143075446e-19,4.744804911025397740e-19,2.440660495295573155e-20
1.505000000000000115e+00,6.662746025686665264e-19,9.297473184344956893e-19,4.792781695632281332e-20
1.515000000000000124e+00,1.300855755919360880e-18,1.808701975566328494e-18,9.351713563557169878e-20
1.525000000000000133e+00,2.521531135292416958e-18,3.493462360939184154e-18,1.811348653440659208e-19
1.535000000000000142e+00,4.853039066409497772e-18,6.699753700900758209e-18,3.482059128505611259e-19
1.544999999999999929e+00,9.274177766670331140e-18,1.275795996333828772e-17,6.649485240254948955e-19
1.554999999999999938e+00,1.759807748696434143e-17,2.412389396200558820e-17,1.260727186910136267e-18
1.564999999999999947e+00,3.315996837507769413e-17,4.529792571324002866e-17,2.373477916265669422e-18
1.574999999999999956e+00,6.204877664743530115e-17,8.446747648595799063e-17,4.437743219296395691e-18
1.584999999999999964e+00,1.153036133079345122e-16,1.564228170013322493e-16,8.239488963789311458e-18
1.594999999999999973e+00,2.127946050700933352e-16,2.876909042250723816e-16,1.519424438344758799e-17
1.604999999999999982e+00,3.900330152114758581e-16,5.255154992690194263e-16,2.782870526410181141e-17
1.614999999999999991e+00,7.100449603182583305e-16,9.534472853388209233e-16,5.062168089267147800e-17
1.625000000000000000e+00,1.283896557885230210e-15,1.718208038596356841e-15,9.146626332981300957e-17
1.635000000000000009e+00,2.305952861265722399e-15,3.075671032030182403e-15,1.641581572531247477e-16
1.645000000000000018e+00,4.114004391510051934e-15,5.468973914618743806e-15,2.926599939834799587e-16
1.655000000000000027e+00,7.291029054990593467e-15,9.660285950254883104e-15,5.183017678709217451e-16
1.665000000000000036e+00,1.283628972774553909e-14,1.695152122925053990e-14,9.118653998388873918e-16
1.675000000000000044e+00,2.245084651449120502e-14,2.955138611953847285e-14,1.593789126178529172e-15
1.685000000000000053e+00,3.901076000851297478e-14,5.118156023510579898e-14,2.767538253492586522e-15
1.695000000000000062e+00,6.734581370655160124e-14,8.807069635076742888e-14,4.774594722843466570e-15
1.705000000000000071e+00,1.155119209691825803e-13,1.505729931690619481e-13,8.184163306813391093e-15
1.715000000000000080e+00,1.968559314929024958e-13,2.557854102123989883e-13,1.393873823531160094e-14
1.725000000000000089e+00,3.333425820775112496e-13,4.317503113255145328e-13,2.358846101102327066e-14
1.735000000000000098e+00,5.608786781974134158e-13,7.241571683322013896e-13,3.966571472397872858e-14
1.745000000000000107e+00,9.377731652447435593e-13,1.206954942359081106e-12,6.628079696943355636e-14
1.755000000000000115e+00,1.558088278790302006e-12,1.999042329111105478e-12,1.100603297736170431e-13
1.765000000000000124e+00,2.572565087826639209e-12,3.290335376137711857e-12,1.816179032044188948e-13
1.775000000000000133e+00,4.221192303982420896e-12,5.382201023632084003e-12,2.978419643401180946e-13
1.785000000000000142e+00,6.883552229329856882e-12,8.749745081056405950e-12,4.854300800425962354e-13
1.794999999999999929e+00,1.115611224955535477e-11,1.413711007072122145e-11,7.863125044350830802e-13
1.804999999999999938e+00,1.797007452253885714e-11,2.270228140231931919e-11,1.265916467890700408e-12
1.814999999999999947e+00,2.876983758332951685e-11,3.623562050793888302e-11,2.025676742115328184e-12
1.824999999999999956e+00,4.578140408488459457e-11,5.748741834686676028e-11,3.221839670058644504e-12
