epsilon,beta_omega,time_omega,nmax,identity_max_abs_error,finite_difference_current_error,finite_difference_hopping_error,finite_difference_coherence_error,energy,length_velocity,current_generator_delta1,hopping_generator_delta1,small_delta_velocity_error,small_delta_energy_error
0.05,10.0,1.0,360,1.8207657603852567e-14,2.0124407695831792e-10,1.40695899375487e-10,6.138734038707353e-12,1.5163214128455778,0.13548927259575838,0.17934002052406522,-2.609957231895974,3.759907512640437e-06,0.0010584768896961805
0.02,10.0,1.0,900,3.8191672047105385e-13,2.138766108661372e-09,4.72288975039703e-07,4.7229381728421505e-09,3.600675277145521,0.13431260729004377,0.43483679706420436,-6.304395404399392,3.7086380610951153e-06,0.0026522064117102673
0.01,10.0,1.0,1800,6.927791673660977e-13,3.1633696884192375e-08,2.60076141973542e-05,1.300381671838294e-07,7.074592362782522,0.13391643284066973,0.8608198374501962,-12.463701887807538,3.6913455003229068e-06,0.0053083615536309026
