x,scaled_C_q_0.20000000,scaled_C_q_0.60000000,scaled_C_q_0.90000000,scaled_C_q_0.98000000,scaled_C_q_0.99600799
6.000000000000000888e-01,1.698876972515827311e-01,1.700165118517171781e-01,1.701065455326301323e-01,1.701295888438189019e-01,1.701341514686533218e-01
6.250000000000000000e-01,1.834714514851566169e-01,1.836334412009572314e-01,1.837460585029828675e-01,1.837747992178209999e-01,1.837804859659092627e-01
6.500000000000000222e-01,1.974759776261622024e-01,1.976776173212191900e-01,1.978170359255869704e-01,1.978525134820336429e-01,1.978595282927107513e-01
6.750000000000000444e-01,2.118877352856756713e-01,2.121363621773789676e-01,2.123073139742520099e-01,2.123506888742225374e-01,2.123592591879135683e-01
7.000000000000000666e-01,2.266930883278666653e-01,2.269969574702400961e-01,2.272047124878082136e-01,2.272572709693860826e-01,2.272676485948505187e-01
7.250000000000000888e-01,2.418783415824575789e-01,2.422466783019646686e-01,2.424970656873963182e-01,2.425602236401531164e-01,2.425726854733368520e-01
7.500000000000000000e-01,2.574297767944905835e-01,2.578728254023641697e-01,2.581722511715465185e-01,2.582475572507144101e-01,2.582624058376305487e-01
7.750000000000000222e-01,2.733336876652719960e-01,2.738627558000018003e-01,2.742182171217387165e-01,2.743073550299934826e-01,2.743249189685857958e-01
8.000000000000000444e-01,2.895764138464705928e-01,2.902039118392602535e-01,2.906230076709539478e-01,2.907277975894396183e-01,2.907484317678570296e-01
8.250000000000000666e-01,3.061443737581512337e-01,3.068838484617628648e-01,3.073747864064206858e-01,3.074971855691301381e-01,3.075212712402074500e-01
8.500000000000000888e-01,3.230240961109591691e-01,3.238902586876386547e-01,3.244618579952142645e-01,3.246039604126808586e-01,3.246319051066360872e-01
8.750000000000000000e-01,3.402022500226518642e-01,3.412109972488888698e-01,3.418726879374403005e-01,3.420367232867007057e-01,3.420689605660958144e-01
9.000000000000000222e-01,3.576656736296274786e-01,3.588341023433769816e-01,3.595959204663382591e-01,3.597842521741453359e-01,3.598212412369807267e-01
9.250000000000000444e-01,3.754014011049373600e-01,3.767478154936030332e-01,3.776203946277466583e-01,3.778355171829178016e-01,3.778777423213280362e-01
9.500000000000000666e-01,3.933966880054255988e-01,3.949405995092620802e-01,3.959351585829293807e-01,3.961796941214339451e-01,3.962276640448167409e-01
9.750000000000000888e-01,4.116390348819989331e-01,4.134011545665368104e-01,4.145294821888018122e-01,4.148061764016799380e-01,4.148604234342093133e-01
1.000000000000000000e+00,4.301162090985428121e-01,4.321184324300378354e-01,4.333928679181234811e-01,4.337045853375776638e-01,4.337656645009354550e-01
1.025000000000000133e+00,4.488162648165636703e-01,4.510816488551812609e-01,4.525150601893178082e-01,4.528647789123393941e-01,4.529332669051517879e-01
1.050000000000000044e+00,4.677275611141694656e-01,4.702802942195452585e-01,4.718860531812637538e-01,4.722768590930063737e-01,4.723533531789065321e-01
1.074999999999999956e+00,4.868387782194310009e-01,4.897041424413250965e-01,4.914960972128139538e-01,4.919311777736514180e-01,4.920162945901154772e-01
1.100000000000000089e+00,5.061389318494068368e-01,5.093432582513773843e-01,5.113357037699608476e-01,5.118183414308670187e-01,5.119127157310161547e-01
1.125000000000000000e+00,5.256173856571030312e-01,5.291880028925238788e-01,5.313956492656412012e-01,5.319292145762843926e-01,5.320334979157145261e-01
1.150000000000000133e+00,5.452638617992852099e-01,5.492290383257455444e-01,5.516669776182203666e-01,5.522549220910670797e-01,5.523697814715031740e-01
