q,relative_line_distance_deviation,max_pairwise_gap,max_inward_current,mds_second_to_first,mds_negative_mass_fraction
2.000000000000000111e-01,1.260479309107878946e-03,2.421114753525932528e-02,3.574298467058448225e-02,4.159451429533279703e-04,4.842935953604586390e-04
4.000000000000000222e-01,3.594253718697662850e-04,1.372144166755973060e-02,2.186628647019056917e-02,8.185704154882929046e-05,1.343165690507290837e-04
5.999999999999999778e-01,6.231496644764099096e-05,4.647859639387963426e-03,1.110997055249998179e-02,8.619811856895444964e-06,2.020684382858557460e-05
8.000000000000000444e-01,3.074113483815206768e-06,8.618333847744130694e-04,2.858633490887124099e-03,1.761426811992476118e-07,7.081219236658456696e-07
9.000000000000000222e-01,1.130780554677220274e-07,1.077347068397793706e-04,5.416406670997087232e-04,2.798053562891979353e-09,1.669408089152503975e-08
9.499999999999999556e-01,2.391992115958029977e-09,7.917609598173669383e-06,5.891371424877195340e-05,2.636544636675674860e-11,2.060243752210547406e-10
9.799999999999999822e-01,3.098495012264418036e-12,5.031470196037446385e-08,3.378158189801090368e-07,1.942606636408847399e-14,9.900760991720314134e-14
9.960079893439914844e-01,2.458216136483578600e-15,4.774847184307873249e-12,5.942322230062762250e-16,8.328630210618609506e-16,7.592487250713400979e-15
