epsilon,q,omega,beta_a,beta_b,time_a,time_b,nmax,mean_a,mean_b,sigma_a,sigma_b,W1_length,mean_difference,excess_over_mean_difference,concentration_upper_bound,dual_residual,fisher_rao,classical_overlap,W1_over_sqrt_epsilon,gaussian_W1,gaussian_fisher_rao,gaussian_W1_relative_deviation,absolute_deviation_observable_gap,probe_delta_1_difference,probe_best_delta_in_scan,probe_best_lower_bound,quantum_fidelity,norm_error,tail_probability,scipy_W1_difference,doubled_cutoff_W1_error,doubled_cutoff_time_error,doubled_cutoff_fisher_error,doubled_cutoff_mean_error,doubled_cutoff_probability_L1
0.05,0.951229424500714,1.0,5.0,10.0,2.5426154518467903,0.0,360,2.7028890935012844,2.702889093501133,0.32638566363458305,0.3424283195007053,0.012812716799387891,1.5143442055887135e-13,0.012812716799236457,0.5330826454482382,1.3877787807814457e-17,0.06807472392674706,0.9994207849189436,0.05730021147976972,0.01280018742985246,0.06783819649205147,0.0009788426618042578,0.012772033745876044,-0.0003626825516832141,0.37307404794250715,0.0007231904155942179,0.0018137324067312717,1.907363156306019e-13,2.2169471248869166e-171,2.5182633756060113e-13,2.7347915598774364e-14,3.574918139293004e-13,1.304512053934559e-14,1.7674750552032492e-13,6.381129454446988e-13
0.02,0.9801986733067553,1.0,5.0,10.0,2.534331481070951,0.0,900,2.691783865654834,2.6917838656555153,0.20639208193417524,0.2164953512669394,0.00806747903028399,6.812328479099961e-13,0.008067479029602757,0.337559108807912,6.938893903907228e-18,0.06766516445607786,0.999427732779851,0.05704569129394082,0.008061242614245581,0.06756796705440814,0.0007736296172735635,0.008047057362971122,-0.00014525728972820723,0.37307404794250715,0.00029081993823049806,2.034656951312533e-07,2.099431739566171e-12,0.0,5.322506324567655e-12,1.7321786366375491e-12,2.637889906509372e-13,6.564193633096238e-15,1.6697754290362354e-12,1.0062159697589675e-12
0.01,0.9900498337491681,1.0,5.0,10.0,2.531537392054314,0.0,1800,2.688035220018299,2.6880352200182687,0.14593283104836668,0.1530669510897953,0.005692758980904693,3.019806626980426e-14,0.005692758980874495,0.23857321847501645,1.2576745200831851e-16,0.0675287716632424,0.9994300372758552,0.056927589809046934,0.005692204235970182,0.06747973211715465,9.745696245500035e-05,0.005688228724212749,-7.266623882094301e-05,0.37307404794250715,0.00014567937120094307,5.306788774188181e-14,5.073275133327115e-12,0.0,1.3056772676933726e-11,1.3224161349301156e-12,1.7146284392310918e-12,2.696731726814505e-13,1.1546319456101628e-13,6.798478429441815e-12
0.005,0.9950124791926823,1.0,5.0,10.0,2.5301267227286655,0.0,3600,2.686146353757561,2.6861463537582084,0.10318718918997238,0.10822779570311403,0.004022627265508865,6.474820679613913e-13,0.004022627264861383,0.1686903898449507,8.500145032286355e-17,0.06745427416664637,0.9994312940246721,0.05688854035254434,0.004021822113918083,0.06742964915081716,0.0002001957242205865,0.004020324766334127,-3.6339949188745634e-05,0.37307404794250715,7.290148919894328e-05,3.243822752278692e-27,1.9476309454091734e-11,0.0,2.6640497099994498e-11,1.3093953005194336e-12,2.588596004216015e-12,5.531269886560608e-13,6.252776074688882e-13,1.4479587937666274e-11
