Q,B1,B2,B_even,B_odd,GST_even,GST_odd,mu_saddle,even_match_error,odd_match_error,decomposition_error,log_asymmetry,light_log_asymmetry
-0.45,4.3578947368421055,2.463157894736842,3.4105263157894745,0.9473684210526319,3.410526315789475,0.9473684210526319,1.4722194895832204,4.440892098500626e-16,0.0,8.881784197001252e-16,57.372990109644604,58.88877958332881
-0.445,3.9041847041847046,2.191822991822992,3.048003848003849,0.8561808561808564,3.048003848003848,0.8561808561808564,1.421925871130636,8.881784197001252e-16,0.0,6.661338147750939e-16,55.507145475336074,56.87703484522544
-0.44,3.526241134751773,1.9659574468085108,2.746099290780142,0.7801418439716312,2.7460992907801423,0.7801418439716312,1.3757676565209744,4.440892098500626e-16,0.0,2.220446049250313e-16,53.78247931048436,55.030706260838976
-0.435,3.206581653640477,1.7750719868366927,2.490826820238585,0.7157548334018923,2.4908268202385844,0.715754833401892,1.3330796296965248,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16,52.17797745441797,53.323185187861
-0.43,2.932718894009217,1.611674347158218,2.2721966205837165,0.660522273425499,2.2721966205837165,0.6605222734254991,1.2933446720489712,0.0,1.1102230246251565e-16,1.3322676295501878e-15,50.67695124447805,51.73378688195885
-0.425,2.6954954954954955,1.4702702702702701,2.082882882882882,0.6126126126126125,2.082882882882883,0.6126126126126127,1.2561528119880574,8.881784197001252e-16,2.220446049250313e-16,9.992007221626409e-16,49.26593229934212,50.246112479522296
-0.42000000000000004,2.4880434782608694,1.3467391304347827,1.9173913043478275,0.5706521739130438,1.917391304347827,0.5706521739130437,1.2211735176846024,4.440892098500626e-16,1.1102230246251565e-16,1.887379141862766e-15,47.93389722912323,48.84694070738411
-0.41500000000000004,2.3051108968177436,1.2379299260687882,1.7715204114432666,0.5335904853744778,1.7715204114432668,0.5335904853744778,1.1881364043926026,2.220446049250313e-16,0.0,7.771561172376096e-16,46.671711399104936,47.52545617570411
-0.41000000000000003,2.1426129426129426,1.1413919413919413,1.6420024420024426,0.5006105006105008,1.642002442002443,0.5006105006105008,1.1568174645903155,4.440892098500626e-16,0.0,8.881784197001252e-16,45.471721782635825,46.27269858361262
-0.405,1.9973248037220133,1.0551904623437052,1.526257633032859,0.471067170689154,1.5262576330328592,0.47106717068915405,1.127029026049693,2.220446049250313e-16,5.551115123125783e-17,2.7755575615628914e-16,44.32745356888506,45.081161041987706
-0.4,1.8666666666666667,0.9777777777777777,1.4222222222222227,0.4444444444444446,1.4222222222222225,0.4444444444444446,1.0986122886681098,2.220446049250313e-16,0.0,6.106226635438361e-16,43.23338043561328,43.94449154672439
-0.395,1.7485501463155093,0.9079010375099761,1.328225591912743,0.4203245544027668,1.3282255919127435,0.42032455440276684,1.0714316840586662,4.440892098500626e-16,5.551115123125783e-17,4.996003610813204e-16,42.18474807530222,42.85726736234665
-0.39,1.6412665985699693,0.8445352400408581,1.2429009193054137,0.39836567926455574,1.242900919305414,0.39836567926455574,1.0453705484668847,2.220446049250313e-16,0.0,1.6653345369377348e-16,41.1774368518521,41.81482193867539
-0.385,1.5434045689019897,0.7868337017931712,1.1651191353475805,0.37828543355440925,1.1651191353475807,0.3782854335544093,1.0203277583223398,2.220446049250313e-16,5.551115123125783e-17,0.0,40.20785363920653,40.813110332893594
-0.38,1.4537878787878786,0.734090909090909,1.093939393939394,0.35984848484848486,1.0939393939393942,0.3598484848484849,0.9962150823451031,2.220446049250313e-16,5.551115123125783e-17,2.220446049250313e-16,39.27284571804655,39.848603293804125
-0.375,1.3714285714285714,0.6857142857142857,1.0285714285714285,0.34285714285714286,1.0285714285714285,0.34285714285714286,0.9729550745276566,0.0,0.0,1.1102230246251565e-16,38.36963155253484,38.91820298110626
-0.37,1.2954907161803715,0.6412024756852343,0.9683465959328029,0.3271441202475685,0.9683465959328029,0.32714412024756856,0.9504793805965235,0.0,5.551115123125783e-17,1.6653345369377348e-16,37.49574463146483,38.01917522386094
-0.365,1.2252622564761293,0.6001284521515735,0.9126953543138512,0.31256690216227784,0.9126953543138513,0.3125669021622779,0.9287273642467249,1.1102230246251565e-16,5.551115123125783e-17,2.7755575615628914e-16,36.64898752640935,37.14909456986899
-0.36,1.1601328903654486,0.5621262458471761,0.8611295681063122,0.29900332225913623,0.8611295681063121,0.2990033222591362,0.9076449833191245,1.1102230246251565e-16,5.551115123125783e-17,1.6653345369377348e-16,35.82739401715036,36.30579933276498
-0.355,1.0995765275257108,0.5268804194394031,0.8132284734825569,0.2863480540431539,0.8132284734825568,0.28634805404315383,0.8871838632580928,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,35.029197643854666,35.487354530323714
-0.35,1.0431372549019609,0.4941176470588235,0.7686274509803921,0.27450980392156865,0.768627450980392,0.27450980392156854,0.8673005276940531,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,34.252805421487615,34.69202110776213
-0.34500000000000003,0.9904180187058604,0.4635999236495516,0.727008971177706,0.2634090475281543,0.7270089711777059,0.2634090475281543,0.8479557552189637,1.1102230246251565e-16,0.0,1.1102230246251565e-16,33.496775732713495,33.918230208758544
-0.34,0.941071428571429,0.43511904761904785,0.6880952380952384,0.2529761904761906,0.6880952380952383,0.2529761904761906,0.8291140383017663,1.1102230246251565e-16,0.0,0.0,32.759799627308745,33.16456153207065
-0.335,0.8947922337143894,0.4084921066956996,0.6516421702050447,0.24315006350934498,0.6516421702050446,0.24315006350934498,0.8107431254751375,1.1102230246251565e-16,0.0,2.220446049250313e-16,32.04068491739055,32.4297250190055
-0.33,0.8513111268603827,0.38355776045357903,0.6174344436569809,0.23387668320340185,0.617434443656981,0.23387668320340188,0.7928136318701909,1.1102230246251565e-16,2.7755575615628914e-17,2.7755575615628914e-17,31.3383425816822,31.712545274807642
